date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:07	208/208	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jan%202020%2015:22:07%20GMT	http://artsoundgroup.com/robots.txt		(from )
20:52:09	6563/6563	---MC-	200	added ('OK')	text/html	date:Fri,%2010%20Jan%202020%2015:22:08%20GMT	http://artsoundgroup.com/html/relax/html/video/	artsoundgroup.com/html/relax/html/video/index.html	(from )
20:52:09	22382/22382	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22576e-5856175081776%22	http://artsoundgroup.com/html/relax/html/video/favicon.ico	artsoundgroup.com/html/relax/html/video/favicon.ico	(from http://artsoundgroup.com/html/relax/html/video/)
20:52:10	13785/13785	---M--	200	added ('OK')	text/css	etag:%225ca0980c-35d9%22	http://artsoundgroup.com/html/relax/html/video/css/style.css	artsoundgroup.com/html/relax/html/video/css/style.css	(from http://artsoundgroup.com/html/relax/html/video/)
20:52:11	7463/7463	---M--	200	added ('OK')	application/javascript	etag:%225ca0980c-1d27%22	http://artsoundgroup.com/html/relax/html/video/js/modernizr.js	artsoundgroup.com/html/relax/html/video/js/modernizr.js	(from http://artsoundgroup.com/html/relax/html/video/)
20:52:12	8951/8951	---M--	200	added ('OK')	image/png	etag:%225ca0980c-22f7%22	http://artsoundgroup.com/html/relax/html/video/images/logo.png	artsoundgroup.com/html/relax/html/video/images/logo.png	(from http://artsoundgroup.com/html/relax/html/video/)
20:52:18	3995/3995	---M--	200	added ('OK')	application/javascript	etag:%225ca0980c-f9b%22	http://artsoundgroup.com/html/relax/html/video/js/scripts.js	artsoundgroup.com/html/relax/html/video/js/scripts.js	(from http://artsoundgroup.com/html/relax/html/video/)
20:52:19	1180/1180	---M--	200	added ('OK')	image/png	etag:%225ca09824-49c%22	http://artsoundgroup.com/html/relax/html/video/css/images/overlay.png	artsoundgroup.com/html/relax/html/video/css/images/overlay.png	(from http://artsoundgroup.com/html/relax/html/video/css/style.css)
20:52:24	48729/48729	---M--	200	added ('OK')	application/javascript	etag:%225ca0980c-be59%22	http://artsoundgroup.com/html/relax/html/video/js/plugins.js	artsoundgroup.com/html/relax/html/video/js/plugins.js	(from http://artsoundgroup.com/html/relax/html/video/)
20:52:24	44854/44854	---M--	200	added ('OK')	application/javascript	etag:%225ca0980c-af36%22	http://artsoundgroup.com/html/relax/html/video/js/jquery.mb.YTPlayer.min.js	artsoundgroup.com/html/relax/html/video/js/jquery.mb.YTPlayer.min.js	(from http://artsoundgroup.com/html/relax/html/video/)
20:52:26	95956/95956	---M--	200	added ('OK')	application/javascript	etag:%225ca0980c-176d4%22	http://artsoundgroup.com/html/relax/html/video/js/jquery-1.11.3.min.js	artsoundgroup.com/html/relax/html/video/js/jquery-1.11.3.min.js	(from http://artsoundgroup.com/html/relax/html/video/)
